Length,Stops
0,0
4,1
7,2
6,1
0,5
4,2
0,0
3,0
3,0
5,1
12,2
5,0
0,0
3,0
4,1
1,0
8,2
1,0
4,1
4,0
5,2
12,3
9,0
4,0
1,1
3,0
0,0
7,1
2,1
3,2
1,1
0,1
9,1
1,1
1,2
1,0
1,1
4,0
5,0
0,0
1,0
1,0
1,0
2,1
7,0
2,0
7,0
2,0
2,0
1,0
2,2
3,1
0,0
3,2
1,0
0,2
3,0
21,1
1,1
15,2
4,2
5,0
3,1
3,0
8,0
0,0
0,0
3,0
1,2
1,2
12,2
3,2
5,0
8,3
7,0
0,1
33,4
4,1
22,3
17,2
47,6
16,0
36,8
47,2
1,0
3,3
4,0
5,2
3,1
4,3
5,3
3,0
2,1
3,2
0,0
2,0
0,0
6,0
6,0
5,1
4,1
3,2
1,0
5,2
3,0
1,1
10,0
2,0
2,0
3,0
2,0
1,0
1,0
5,1
4,1
1,1
4,0
1,0
2,0
2,1
1,0
9,1
0,0
5,2
1,0
4,1
4,1
1,0
3,0
2,1
6,1
0,0
1,0
3,1
2,0
2,1
1,1
0,1
1,2
1,1
0,0
1,0
5,1
1,1
16,0
4,0
5,1
4,0
0,2
9,2
6,0
12,1
22,2
6,3
3,2
3,1
3,1
11,1
14,1
5,0
1,0
0,0
1,2
11,1
1,1
6,0
0,0
22,4
3,1
2,1
4,0
3,1
0,0
2,4
1,1
1,1
6,6
4,2
4,1
1,1
1,1
3,0
2,0
0,1
4,1
4,2
4,1
1,0
4,2
3,0
3,1
1,0
3,1
2,1
0,1
3,1
1,1
2,1
10,0
2,0
9,0
2,0
5,1
4,0
2,1
0,2
3,0
0,2
1,0
4,2
10,0
1,0
1,0
3,2
26,4
6,2
8,0
2,0
2,4
1,1
2,1
0,1
3,1
2,2
6,2
2,2
0,0
1,0
1,0
1,2
9,0
2,1
0,1
0,1
2,0
1,1
2,2
2,0
3,0
3,0
0,1
0,0
6,2
11,2
14,1
2,1
3,0
0,0
2,3
4,0
1,0
3,2
1,0
2,1
2,2
4,1
2,0
5,0
0,1
3,1
2,0
5,0
2,0
3,0
3,0
0,0
1,0
1,1
6,1
12,1
1,2
3,0
4,0
1,0
2,0
0,1
2,0
4,0
7,1
0,0
2,1
1,0
6,0
2,1
3,0
7,0
0,2
12,2
5,1
2,0
1,2
7,1
4,2
4,2
11,2
14,2
4,3
6,0
0,0
1,0
3,0
0,0
1,0
2,0
4,1
0,1
1,2
3,1
3,1
0,0
2,2
3,4
2,0
6,0
1,0
2,0
2,0
3,1
2,1
0,0
3,0
4,2
9,2
5,0
0,0
0,0
16,4
9,1
0,4
1,1
4,2
4,0
1,1
6,2
2,1
3,1
4,0
5,0
4,0
3,1
4,3
0,3
5,0
0,0
0,0
4,1
6,1
10,2
17,3
1,1
0,3
17,3
1,2
3,1
15,1
5,3
5,0
5,6
2,0
1,2
6,0
5,1
3,2
3,0
1,0
3,0
1,0
4,0
9,1
7,2
4,0
1,1
2,0
2,0
2,0
4,1
5,0
5,2
1,1
1,2
3,1
1,0
0,0
0,0
1,3
0,0
2,1
8,1
1,0
1,0
5,0
3,1
1,0
1,0
11,0
5,1
1,2
3,0
3,0
8,4
14,1
4,1
3,1
3,0
3,1
2,0
0,1
4,1
1,0
0,2
10,2
1,1
2,2
2,0
3,0
13,4
1,2
2,0
5,0
1,0
4,1
0,0
13,2
15,1
6,2
1,0
1,1
2,2
3,0
5,1
10,1
4,1
1,1
2,1
2,0
9,1
6,2
3,1
5,1
1,0
5,1
0,4
12,1
3,2
6,0
9,1
2,1
7,3
14,0
3,0
5,0
2,0
8,0
2,2
0,0
2,2
1,0
6,1
3,0
1,0
6,2
2,1
8,0
4,0
3,1
3,1
3,3
8,1
0,0
2,0
1,0
11,3
6,2
3,1
1,0
10,3
21,4
17,1
5,4
9,1
2,0
1,1
8,1
2,0
1,1
0,3
4,1
3,0
19,2
1,1
15,1
14,0
13,0
12,1
21,0
5,0
1,2
1,2
9,2
11,0
11,0
4,1
1,1
4,1
2,0
1,1
1,0
1,0
6,2
4,2
12,1
3,1
10,1
8,1
4,0
1,0
5,1
10,2
2,1
1,0
36,4
7,2
13,1
42,2
3,0
5,0
1,1
5,3
2,0
2,2
2,0
3,4
15,0
10,4
4,1
5,2
23,4
11,2
9,3
10,0
6,2
19,4
6,0
3,3
5,0
11,4
8,6
2,3
0,3
5,3
5,0
1,2
2,0
7,1
18,5
18,4
15,1
48,5
6,2
0,2
5,1
2,2
19,7
13,0
28,11
1,1
0,0
2,0
9,5
9,3
4,1
14,6
3,0
6,1
9,0
2,2
4,2
3,0
3,1
4,1
2,1
0,0
1,2
2,1
3,0
4,3
1,1
1,1
1,1
10,6
2,4
0,0
5,1
7,1
2,4
1,0
2,1
30,0
22,3
0,0
1,0
1,0
3,0
12,1
5,4
10,3
25,1
2,2
7,0
11,2
11,4
2,4
2,0
9,1
9,1
9,0
2,0
2,0
0,2
7,1
7,0
0,1
4,0
5,0
4,0
2,0
1,1
4,0
3,0
7,0
3,0
1,0
0,1
1,2
6,0
1,0
5,3
9,3
72,2
52,3
1,1
1,1
4,1
3,0
2,0
3,0
9,0
1,1
2,1
2,1
3,0
1,0
5,1
6,1
1,0
0,0
5,0
3,1
7,0
7,2
2,0
1,0
9,1
1,2
2,0
0,0
3,0
3,1
3,1
2,1
9,2
4,1
6,2
0,2
8,1
2,1
5,0
0,0
5,1
9,0
6,0
15,0
1,0
1,0
6,2
4,0
2,2
3,0
0,0
1,1
4,2
1,0
8,5
0,0
0,0
1,2
5,0
2,0
0,0
4,1
1,1
2,2
10,1
1,1
2,0
1,1
3,4
3,2
0,0
7,0
3,0
3,1
6,3
5,1
10,1
1,1
8,0
5,0
1,1
16,0
2,1
4,0
4,0
9,0
12,3
6,1
2,5
1,0
12,2
5,0
4,0
0,1
2,0
1,1
4,0
15,3
1,0
1,0
1,0
5,1
3,3
3,0
0,1
2,3
1,2
4,1
2,1
1,3
33,1
16,8
7,3
3,1
3,3
9,1
2,0
3,1
8,1
7,7
14,5
2,0
0,1
5,1
3,0
13,1
1,0
0,0
1,0
0,0
0,0
1,0
2,0
5,0
2,0
6,1
6,3
3,1
5,2
2,0
1,0
2,0
3,0
3,0
4,0
2,2
3,0
1,0
1,0
1,0
7,1
15,1
1,0
0,0
0,0
6,1
12,1
4,0
1,0
5,2
0,1
0,0
0,0
0,0
0,0
2,0
3,0
3,0
19,0
16,0
4,1
7,2
34,1
1,2
4,2
4,0
2,1
4,0
8,1
0,0
1,2
14,3
2,2
7,1
1,1
9,0
2,1
31,3
0,1
21,2
1,1
0,0
5,0
6,0
1,2
1,0
16,0
3,0
6,0
3,0
6,1
3,1
12,1
16,1
9,0
23,0
3,0
1,1
13,2
16,4
3,3
3,3
9,0
7,2
0,1
11,4
2,0
2,0
7,1
15,1
2,1
12,5
9,5
3,1
0,0
3,3
5,4
1,4
1,0
14,5
8,4
1,0
0,0
1,0
3,0
4,1
1,3
0,1
3,0
4,2
0,0
0,1
3,1
4,1
2,0
8,0
2,1
8,0
21,1
5,0
2,0
8,1
8,0
5,0
4,0
2,0
3,1
3,0
1,0
14,1
11,2
15,3
1,0
3,0
3,0
7,0
7,1
1,1
0,2
1,0
1,0
5,1
1,0
2,0
0,1
0,0
6,0
0,1
3,0
4,1
2,1
1,0
2,3
3,0
7,1
4,0
5,1
3,0
5,0
0,0
1,3
2,0
11,0
7,2
8,2
24,1
6,0
3,0
0,0
2,1
7,2
24,2
10,0
1,0
10,3
16,1
5,0
1,1
5,0
3,0
4,2
2,0
0,1
2,1
1,2
2,2
7,0
8,0
4,1
8,1
12,3
4,4
4,1
8,0
1,0
1,2
2,0
5,1
5,0
4,0
8,0
2,2
4,0
1,1
2,1
2,1
4,0
2,0
2,0
4,1
3,0
11,0
1,1
1,0
1,0
6,0
0,0
9,1
5,1
4,2
3,0
9,2
3,0
2,0
4,0
7,1
10,2
6,1
3,1
4,1
13,0
9,2
3,0
5,1
7,2
4,1
0,0
2,2
5,0
3,0
1,1
3,0
8,2
12,4
4,1
14,0
34,4
8,2
3,0
8,0
6,2
3,0
3,0
1,1
10,1
3,0
0,2
1,1
7,1
13,0
0,0
0,0
2,2
0,2
6,3
20,1
4,2
11,2
8,2
1,0
3,2
8,0
12,2
2,0
23,4
19,1
5,2
4,1
25,3
0,1
1,1
4,1
1,0
5,0
3,1
1,2
1,2
6,1
4,0
1,0
4,0
1,0
7,1
1,0
2,1
2,0
1,0
6,1
4,2
3,1
1,0
7,0
6,1
0,1
0,0
4,2
1,0
2,3
5,2
1,0
3,0
2,0
2,2
2,1
2,0
2,0
6,0
0,0
1,1
3,1
5,2
11,0
3,1
3,0
4,3
1,1
34,2
27,6
4,0
2,0
4,1
7,2
1,1
1,0
4,0
11,1
32,3
17,4
6,1
10,3
7,3
2,0
6,2
2,3
0,0
3,1
1,0
1,1
0,0
1,0
4,0
2,0
4,0
4,1
3,1
11,0
1,1
4,0
0,0
2,0
1,0
3,0
2,0
4,0
6,1
7,1
1,2
6,0
0,1
4,0
2,0
3,0
4,1
4,1
4,3
3,0
8,4
3,2
4,1
2,0
3,0
7,2
7,0
7,0
3,0
2,1
9,0
1,0
3,0
18,1
2,2
4,1
3,0
2,0
6,1
2,1
8,4
3,0
6,0
11,1
19,0
29,5
11,3
5,0
0,1
2,1
5,1
10,1
2,1
5,1
4,1
27,2
33,1
2,1
9,1
28,2
0,0
12,3
5,1
5,0
2,1
3,0
2,0
8,1
9,2
9,0
3,1
6,0
7,1
6,1
1,0
6,0
1,0
3,0
1,0
1,0
1,0
4,0
5,0
2,0
2,1
6,1
2,1
2,1
7,1
4,0
4,0
3,1
2,0
2,0
8,1
2,0
1,0
5,1
0,0
0,0
6,0
1,0
8,1
3,0
3,1
9,2
2,0
1,0
1,0
1,2
4,0
8,3
3,1
0,1
3,1
0,1
5,0
2,0
1,1
3,0
1,0
2,0
3,2
3,0
4,5
1,2
2,0
4,0
2,1
14,1
18,1
18,2
17,4
1,0
3,1
3,2
7,2
35,3
23,2
2,0
3,1
12,1
2,0
1,2
3,0
2,0
4,0
6,1
1,0
1,0
12,2
12,0
10,2
3,0
8,2
3,1
2,0
1,0
2,3
3,1
2,1
5,2
2,1
1,1
4,0
2,2
6,2
5,0
7,0
1,3
0,1
1,0
7,0
1,1
1,5
8,0
1,0
3,0
3,0
2,1
5,0
1,1
11,0
1,0
1,0
5,2
5,3
1,0
7,1
1,0
3,2
2,2
7,1
5,1
0,0
6,0
1,0
1,1
1,0
0,0
1,0
1,0
2,0
1,0
0,4
7,1
3,2
2,1
0,2
1,1
7,7
1,0
1,0
1,0
1,3
3,0
4,0
4,1
1,2
2,0
4,3
6,3
1,1
1,1
3,1
1,1
2,3
0,0
4,1
0,1
2,0
2,1
1,0
1,0
9,1
0,0
3,1
2,1
0,2
4,1
0,0
3,0
54,10
2,0
7,0
0,2
4,0
1,2
3,1
0,1
10,2
1,2
4,1
6,0
2,0
1,2
30,0
1,1
17,6
3,1
4,1
4,0
3,0
4,3
5,1
4,2
2,2
3,0
2,1
0,1
2,0
2,2
2,0
5,0
1,1
3,0
1,0
1,0
4,1
5,2
1,0
1,0
2,1
0,0
2,0
4,0
0,0
2,0
0,0
4,0
0,0
26,2
7,2
0,0
0,1
12,2
2,1
2,1
7,0
1,0
2,0
6,2
3,1
0,1
2,2
2,1
4,1
12,1
8,1
15,1
5,3
14,4
14,0
14,2
7,1
2,1
0,1
8,0
9,2
3,2
7,1
2,1
13,3
9,3
0,1
0,0
4,0
8,3
0,0
0,0
1,0
0,0
4,2
6,0
16,2
8,0
3,1
7,0
4,1
1,0
11,2
8,1
3,1
0,1
2,0
1,0
3,1
4,0
11,3
2,2
7,2
2,0
0,0
3,0
1,0
0,2
6,0
2,0
1,1
5,0
0,0
4,2
9,3
7,0
0,1
4,1
2,0
1,0
2,1
6,1
7,1
10,0
24,7
2,0
6,2
2,1
12,0
1,0
3,1
3,0
0,1
3,0
1,0
1,0
4,0
2,0
0,0
1,0
2,0
5,2
7,1
4,1
4,0
2,0
2,1
0,0
1,0
2,0
6,0
0,1
2,0
2,2
1,0
1,1
2,2
1,0
2,1
4,3
2,0
4,0
5,0
2,0
2,0
2,0
6,0
1,0
2,1
3,0
2,0
9,0
2,1
4,1
12,3
1,0
14,0
21,1
10,0
11,2
2,0
7,2
0,0
0,1
2,0
4,4
4,1
5,0
1,1
9,2
7,2
8,0
4,1
3,2
1,0
1,2
10,1
2,2
5,1
8,0
5,1
1,2
6,3
0,1
1,1
0,0
26,2
26,1
7,2
0,0
0,0
2,0
2,1
2,0
5,2
7,1
7,1
0,0
1,1
7,0
3,0
20,2
8,0
9,0
15,5
11,2
8,3
2,0
1,0
4,1
2,0
1,1
3,0
2,1
5,0
9,1
4,1
4,2
1,0
4,0
0,1
3,1
10,1
0,0
2,0
3,0
0,0
0,1
4,1
6,0
0,0
2,1
2,0
1,1
2,0
4,1
1,2
0,0
6,0
7,3
2,0
0,0
4,0
1,0
2,0
3,0
6,1
3,0
3,0
4,1
0,0
7,0
3,0
1,0
2,0
0,0
16,2
8,2
1,0
5,0
10,1
1,1
3,0
5,0
4,1
9,3
1,2
5,2
11,1
0,1
1,1
2,0
9,2
6,1
2,0
13,0
3,0
9,3
4,0
1,0
0,0
15,3
3,1
23,0
4,1
8,1
7,2
5,3
15,0
9,1
18,2
6,1
13,0
10,0
11,6
4,1
5,1
2,0
1,0
2,1
0,1
6,1
0,0
2,0
3,0
1,1
3,0
5,1
3,2
5,0
1,0
1,0
1,0
2,2
2,2
1,0
2,1
9,0
1,1
10,2
14,1
3,1
1,0
26,3
4,1
2,4
1,1
1,0
15,1
0,0
1,1
12,0
4,2
2,0
0,0
1,0
0,0
9,1
5,0
5,1
2,1
7,1
1,0
1,0
5,0
8,2
3,0
1,0
3,0
7,1
4,2
3,1
1,0
3,0
3,1
6,0
9,2
3,0
3,2
0,0
3,0
1,0
5,1
1,0
4,1
1,0
5,3
1,1
1,0
1,0
1,0
2,1
3,3
5,0
0,0
2,0
8,2
2,0
4,2
5,0
4,0
2,0
7,1
7,1
3,0
6,2
1,0
2,0
3,1
3,1
4,0
3,2
6,2
1,0
2,0
1,0
2,0
6,1
9,1
4,2
2,1
9,1
5,0
8,0
3,1
1,0
4,1
6,2
4,0
6,0
6,1
6,1
4,0
4,1
2,0
6,2
14,3
3,1
3,2
24,1
13,3
2,0
1,1
6,0
3,1
4,0
0,1
4,0
7,0
6,1
7,0
1,0
1,2
2,2
5,2
9,0
6,0
8,2
1,0
2,0
2,1
4,0
15,1
8,0
8,1
7,0
2,1
21,2
41,1
45,4
10,2
22,1
2,0
16,1
1,0
0,2
2,1
22,0
6,2
10,3
3,6
24,7
14,2
13,4
7,0
19,5
1,0
6,1
9,2
2,1
1,0
0,0
3,0
0,1
11,1
5,0
6,1
1,0
2,5
5,1
0,0
2,0
1,1
4,2
14,1
2,0
7,1
0,0
4,1
7,0
6,2
13,0
6,3
5,0
7,2
35,3
32,3
4,0
6,1
5,2
6,1
0,0
0,2
1,5
6,2
0,1
6,2
1,0
1,1
0,0
4,0
4,0
2,1
2,0
3,1
8,0
1,1
1,0
10,0
18,0
17,0
0,0
3,0
4,0
10,0
4,1
1,0
0,4
2,1
1,0
1,1
3,1
1,1
4,0
3,2
4,0
1,1
2,0
5,1
5,0
2,0
6,1
13,1
24,0
1,0
1,1
4,0
4,0
4,2
8,4
6,2
1,1
1,1
4,1
10,2
8,0
2,1
2,0
8,0
1,1
0,0
3,0
1,0
4,1
12,1
13,0
4,0
0,1
1,1
23,8
2,1
2,2
9,2
7,0
2,0
1,0
1,0
0,0
3,0
2,0
1,1
0,2
2,2
1,0
4,1
6,1
9,0
6,1
7,1
3,0
4,1
2,1
2,1
10,0
3,0
6,1
7,2
1,0
5,1
2,1
4,0
3,1
13,1
0,0
1,0
8,2
0,1
4,0
11,1
2,0
7,1
6,0
6,1
2,0
9,0
19,2
3,0
17,0
15,1
2,2
2,1
3,0
6,1
1,2
4,0
10,1
0,1
22,2
6,2
2,0
7,2
2,0
4,2
8,2
7,2
2,0
4,2
6,1
2,2
1,1
4,2
3,0
8,3
5,0
17,5
2,0
3,0
3,0
2,1
5,1
1,0
2,1
1,0
1,0
13,3
6,0
2,0
1,0
2,1
1,4
3,2
21,2
30,4
16,1
17,3
0,1
1,0
0,2
2,2
7,0
5,0
6,1
1,3
3,0
1,0
5,0
6,0
5,1
2,0
1,0
0,1
11,0
1,1
0,1
3,0
22,1
12,1
11,0
1,1
0,0
4,0
0,0
1,1
0,1
1,0
1,0
4,2
1,2
7,1
0,0
2,0
2,0
13,1
0,0
2,1
10,0
2,3
9,2
1,0
5,2
7,0
1,2
19,1
3,0
2,0
8,0
5,0
2,1
13,1
8,0
6,2
1,1
5,2
0,0
3,0
2,0
4,0
0,0
2,5
2,1
3,1
1,1
4,1
5,0
1,0
4,0
3,3
6,3
10,3
3,0
2,1
14,1
7,1
2,0
12,0
2,0
1,1
8,1
3,0
5,2
7,0
9,0
0,0
4,2
5,1
2,3
11,2
1,1
4,1
0,0
4,3
16,2
4,0
3,0
2,0
1,0
1,0
2,0
2,0
8,2
4,1
4,0
1,0
5,0
8,0
2,0
4,1
2,0
5,0
2,0
6,2
3,1
5,1
13,0
2,0
1,2
2,1
3,0
7,0
2,1
0,1
1,1
6,0
1,0
8,0
0,0
6,2
11,1
3,0
4,0
8,1
8,1
2,0
6,0
0,0
20,1
14,0
3,1
2,0
4,1
5,1
3,1
1,0
1,0
9,3
17,2
19,1
3,1
1,0
0,0
5,0
3,1
2,1
3,1
2,1
1,1
2,0
3,0
8,0
6,0
1,1
17,3
7,0
1,1
6,2
5,1
6,0
9,1
3,0
12,1
2,3
7,1
3,0
0,1
4,0
3,0
2,2
7,0
2,1
3,0
0,0
2,3
1,1
1,4
4,6
6,1
1,2
2,0
18,4
13,0
4,4
7,0
1,3
13,2
2,1
1,1
4,5
4,1
5,1
1,2
6,0
1,0
3,0
1,0
1,0
3,1
26,0
14,0
6,2
1,1
15,0
3,0
2,4
4,2
2,0
2,0
5,1
7,2
11,2
0,0
6,0
3,1
1,0
4,0
1,0
2,0
1,1
3,0
1,0
2,1
1,1
3,0
5,1
2,0
4,2
2,0
2,1
1,0
2,0
1,0
3,0
1,0
1,0
1,0
3,1
0,2
0,1
5,0
1,1
2,1
3,1
5,0
0,0
6,3
1,0
1,0
8,1
6,1
15,0
4,1
10,1
0,0
11,0
8,0
0,0
3,1
3,0
3,3
15,3
2,1
11,1
2,0
0,1
1,0
0,0
0,1
8,4
4,4
1,1
0,0
9,2
5,1
17,5
1,0
4,0
2,0
2,1
5,2
1,1
12,3
2,0
1,0
6,2
1,1
2,2
4,1
4,1
2,1
5,1
17,2
18,3
0,1
2,0
7,0
3,1
6,2
3,3
2,0
1,0
1,0
6,0
0,0
2,0
0,0
2,0
3,0
15,2
12,1
2,0
3,1
1,0
4,0
1,0
3,0
0,3
1,1
2,0
7,0
6,0
6,0
4,0
6,1
5,1
11,0
2,1
9,0
4,0
2,2
3,0
13,2
1,0
5,3
2,0
8,0
1,0
1,0
13,2
3,1
3,2
5,1
6,4
5,1
5,7
6,1
13,2
3,0
1,1
6,1
13,0
9,4
1,0
7,1
0,0
1,0
2,1
4,1
2,0
4,0
2,0
8,1
3,1
2,0
3,1
9,1
6,0
7,1
7,1
7,0
0,3
2,0
1,2
5,0
3,0
2,0
4,0
2,1
0,0
2,0
8,1
1,0
8,1
3,1
6,1
6,1
9,1
5,0
7,0
6,1
12,1
1,0
9,1
12,0
11,1
5,1
4,4
0,3
3,1
2,1
0,2
1,0
0,0
1,0
9,0
6,2
7,0
1,0
5,0
4,0
8,0
3,0
6,2
3,1
4,1
8,1
1,0
2,0
0,0
1,1
4,1
2,3
3,2
2,1
10,2
2,1
5,0
7,2
4,2
3,0
2,1
3,0
1,0
0,3
2,0
1,0
3,1
3,0
0,1
2,1
1,2
5,0
8,0
3,2
2,1
5,2
0,0
4,1
0,0
3,1
1,1
2,0
1,0
1,0
2,0
1,1
0,1
3,1
2,0
2,1
3,1
4,1
3,0
4,0
2,3
4,1
1,0
7,3
0,2
8,2
7,1
0,1
5,1
1,1
16,3
4,0
4,0
8,0
18,1
4,0
6,0
1,0
4,1
7,1
1,0
0,0
3,0
4,0
3,0
3,0
7,3
15,0
3,0
0,0
5,0
9,0
12,1
3,0
9,3
7,0
6,1
1,1
13,2
17,1
3,0
1,1
16,1
4,2
0,0
1,0
1,0
2,0
3,1
6,0
0,0
12,0
1,0
5,0
0,2
11,0
6,0
3,1
0,0
1,1
6,0
5,0
2,0
4,0
2,0
5,1
2,0
8,0
1,0
0,1
0,0
1,0
3,1
1,0
5,0
2,0
1,0
12,0
5,1
2,0
2,0
6,0
4,0
15,2
4,0
1,0
2,1
1,0
10,0
1,1
1,1
0,0
3,1
1,0
2,2
0,0
4,0
7,2
4,0
2,0
4,2
2,0
10,1
2,1
3,0
10,1
4,0
6,2
3,0
3,0
2,0
1,0
1,0
2,1
2,0
0,2
2,1
2,0
9,1
2,0
1,2
1,0
6,2
0,0
7,2
3,0
4,0
1,0
3,0
0,1
9,0
8,0
5,0
11,1
2,0
3,0
1,4
8,0
0,1
2,2
1,0
3,0
1,0
8,0
2,0
2,0
3,2
7,0
19,0
1,0
3,0
1,0
1,1
1,0
1,0
6,0
0,0
0,0
1,0
5,0
1,0
1,0
7,0
2,0
0,0
7,1
9,0
7,0
12,2
2,1
1,1
1,0
0,1
0,2
2,0
1,0
10,0
5,0
4,0
1,0
9,1
5,0
5,0
2,1
5,0
0,0
3,1
0,1
6,0
1,1
3,2
15,1
16,1
10,0
3,0
4,0
2,0
8,0
23,0
5,1
12,3
18,0
1,0
8,0
7,0
9,0
5,1
3,0
6,1
0,1
0,0
4,0
4,1
2,0
0,0
4,0
3,0
2,1
2,1
8,2
3,0
1,0
3,0
3,1
3,2
1,0
7,1
6,0
0,0
0,0
1,0
12,1
3,1
5,1
3,0
7,0
3,0
1,0
1,2
0,0
6,1
2,0
4,1
9,0
5,0
5,0
4,0
2,0
2,1
0,0
2,0
4,0
6,1
14,1
3,1
1,0
10,1
1,0
2,0
3,1
2,0
10,0
4,0
1,2
1,0
5,1
3,0
0,2
1,0
1,0
3,0
8,0
2,1
0,1
0,0
1,0
2,0
2,0
5,0
4,0
24,0
16,1
11,1
6,0
0,0
0,0
7,2
6,2
5,2
3,0
5,1
3,1
0,1
2,0
3,2
0,1
2,1
2,0
9,0
2,1
1,0
4,0
1,0
1,0
2,1
10,0
1,0
5,2
2,2
2,1
2,1
3,0
1,1
1,0
4,0
4,0
2,0
0,0
0,0
3,1
9,1
7,1
4,0
2,0
1,1
0,0
1,0
0,0
3,0
1,1
1,0
3,0
2,0
0,0
6,0
5,1
6,0
1,0
4,0
1,1
9,2
1,0
1,0
1,1
0,1
7,1
1,0
6,0
5,0
9,3
2,0
0,1
2,0
2,1
1,0
1,1
3,0
10,0
10,2
0,0
2,0
5,1
2,0
8,1
0,1
3,0
5,0
2,0
9,0
3,1
1,0
10,1
3,0
2,1
0,1
6,0
0,0
4,0
3,0
5,1
21,1
3,0
3,0
1,0
2,0
6,0
0,0
3,0
6,0
5,3
4,0
2,1
2,0
2,0
14,3
2,1
2,2
6,2
18,0
32,3
5,0
1,0
5,2
4,0
11,2
15,1
3,1
3,1
11,1
2,4
2,0
10,4
7,2
2,2
3,0
1,0
6,1
3,2
3,0
3,0
2,1
9,1
0,0
9,1
5,1
2,0
6,1
11,1
3,0
7,0
2,0
4,1
0,0
7,0
5,2
1,0
5,0
10,0
3,0
4,1
1,0
1,1
1,0
0,0
2,0
2,1
1,0
3,0
7,3
3,0
3,2
5,0
4,0
0,0
10,0
2,0
4,0
0,0
3,0
3,0
13,0
5,1
14,0
0,0
0,2
2,3
9,0
1,0
1,0
7,1
10,1
5,0
6,0
1,0
5,1
5,1
4,0
2,1
0,0
3,0
2,1
0,0
4,0
2,0
0,2
2,1
1,0
10,0
1,1
6,1
7,1
1,0
1,1
1,0
3,0
2,0
0,0
8,0
0,0
2,0
0,0
3,0
4,1
0,2
10,1
4,1
1,0
0,1
0,1
1,2
4,2
0,1
1,0
5,0
15,3
7,2
5,2
3,0
7,2
2,0
3,0
1,0
19,1
1,0
1,0
1,0
3,0
6,0
2,0
3,0
5,0
1,0
0,0
3,1
4,0
6,4
1,1
2,2
7,1
4,0
5,0
3,5
8,2
9,0
2,1
56,11
4,2
12,2
13,1
9,0
11,0
0,1
13,2
6,0
0,0
4,1
28,0
4,2
1,0
0,1
1,0
3,1
0,0
0,0
3,2
5,0
4,0
10,1
11,2
2,0
2,0
2,1
6,0
19,2
9,0
0,0
6,0
2,3
4,6
0,0
4,1
0,0
0,0
14,3
0,0
0,2
2,0
1,0
2,0
8,1
0,0
12,2
1,0
4,0
1,0
11,1
2,2
2,2
12,0
1,4
7,3
4,2
3,3
1,0
3,0
11,0
4,2
0,0
1,1
7,1
2,0
2,1
1,2
1,0
2,0
5,1
3,0
5,1
3,0
3,0
7,0
7,2
0,2
1,0
1,0
7,3
14,0
10,2
1,1
16,0
4,3
4,3
11,2
1,2
3,1
27,0
3,1
13,2
16,0
0,0
14,1
2,0
0,3
1,0
8,1
1,0
3,0
6,1
3,0
3,0
0,0
8,1
4,0
4,2
5,1
4,0
2,1
3,1
1,0
0,0
48,4
7,1
2,1
8,0
3,5
3,0
13,6
10,2
1,0
6,2
11,0
5,3
1,2
1,1
4,0
3,0
0,0
1,1
1,0
2,0
4,1
1,1
4,0
2,0
5,0
0,3
16,2
2,1
1,1
0,2
1,2
14,1
10,2
2,0
0,0
8,1
2,1
1,0
2,1
7,2
4,2
15,1
3,1
16,4
1,0
3,0
9,1
0,0
5,2
5,0
